mission,mission_country,mission_country_iso_3,mission_hq,mission_hq_longitude,mission_hq_latitude,mission_continent,mission_region,mission_un_bloc,mission_p5g4a3,mission_nam,mission_g77,mission_au,mission_arab_league,mission_oic,mission_cis,mission_g20,mission_eu,mission_nato,mission_g8,mission_oecd,mission_asean,mission_oas,mission_shanghai,mission_gcc,mission_uma,mission_comesa,mission_censad,mission_eac,mission_eccas,mission_ecowas,mission_igad,mission_sadc
ONUCA,Honduras,HND,Tegucigalpa,14.1,-87.2167,South America,Central America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNAVEM,Angola,AGO,Luanda,-8.8383,13.2344,Africa,Middle Africa,AG,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UNTSO,Israel,ISR,Jerusalem,31.7833,35.2167,Asia,Western Asia,WEOG,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNFICYP,Cyprus,CYP,Nicosia,35.1667,33.3667,Asia,Western Asia,APG,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIIMOG,Iran,IRN,Tehran,34.5147,47.9282,Asia,Southern Asia,APG,None,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNDOF,Syrian Arab Republic,SYR,Camp Faouar,33.2367,35.9211,Asia,Western Asia,APG,None,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNMOGIP,Pakistan,PAK,Islamabad,33.7167,73.0667,Asia,Southern Asia,APG,None,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIFIL,Lebanon,LBN,Naquora,33.12,35.1342,Asia,Western Asia,APG,None,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIKOM,Iraq,IRQ,Umm Qasr,30.0342,47.9294,Asia,Western Asia,APG,None,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINURSO,Western Sahara,ESH,Laayoune,27.1536,-13.2033,Africa,Northern Africa,Non-Member State,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
